Change Component Footprint: Designator=C8 Old Footprint=CAPAE830X1020N New Footprint=CAPMP7343X310N
Change Component Footprint: Designator=C6 Old Footprint=CAPAE1030X1020N New Footprint=CAPMP7343X200N
Change component parameters: Designator = "C6" ("C6"); Footprint = "CAPAE1030X1020N"; UniqueID = "\KSEKXIPR" ("\KSEKXIPR")
Change component parameters (AddParameter): Name = "Author"; Value = "CERN DEM JLC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case"; Value = "V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentHeight"; Value = "2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CreateDate"; Value = "29.06.2011"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "HelpURL"; Value = "\\cern.ch\dfs\Applications\Altium\Datasheets\CTE_SANYO_TPC.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "29.06.2011"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "SANYO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "10TPC100M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounted"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Description"; Value = "ESR 0R045 Tantalum Chip Capacitor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "CTE7343-20_100UF_10V_20%_SANYO_TPC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Sense"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SMD"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Socket"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Status"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "10V"; VariantName = "[No Variations]"
Change component parameters: Designator = "C8" ("C8"); Footprint = "CAPAE830X1020N"; UniqueID = "\XESMTCRB" ("\XESMTCRB")
Change component parameters (AddParameter): Name = "Author"; Value = "CERN DEM JLC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case"; Value = "D"; VariantName = "[No Variations]"
